Year,Policy_Type,Policy_Count,Inflation_Rate,Discount_Rate,Expected_Payout_USD,Present_Value_USD
2027,Life Insurance,5212,0.058,0.0593,62544000.0,59043892.37
2028,Life Insurance,5503,0.0262,0.0362,67768833.88,63111643.72
2029,Life Insurance,5632,0.0546,0.054,75172357.96,64192044.73
2030,Life Insurance,5983,0.0208,0.0688,76375149.46,58529141.43
2031,Life Insurance,6401,0.0285,0.0373,85947923.26,71576428.27
2032,Life Insurance,6599,0.0322,0.051,92771564.89,68837127.87
2033,Life Insurance,6902,0.0316,0.0545,99850073.42,68880600.34
2034,Life Insurance,7097,0.0317,0.0447,105946882.21,74697631.78
2035,Life Insurance,7433,0.0514,0.038,133202513.16,95232541.19
2036,Life Insurance,7810,0.0437,0.0319,137721147.8,100647086.6
2037,Life Insurance,8250,0.0268,0.0326,128997848.47,90639936.25
2038,Life Insurance,8884,0.0586,0.0623,199505406.83,96563367.66
2039,Life Insurance,9224,0.0239,0.0574,146969121.37,71167043.93
2040,Life Insurance,9652,0.0249,0.0498,159424924.78,80727829.97
2041,Life Insurance,9864,0.0564,0.0404,255079375.91,140921015.35
2042,Life Insurance,10453,0.0325,0.0508,202569471.04,91671634.71
2043,Life Insurance,11004,0.0274,0.0688,203481736.34,65675084.48
2044,Life Insurance,11735,0.0576,0.0658,364744659.17,115844843.83
2045,Life Insurance,12390,0.0569,0.0335,402418163.77,215011392.74
2027,Property Insurance,8254,0.0218,0.043,70159000.0,67265686.68
2028,Property Insurance,8611,0.0309,0.0631,75451809.41,66754566.54
2029,Property Insurance,8967,0.0312,0.0517,81055668.03,69678381.0
2030,Property Insurance,9222,0.0521,0.033,91285141.98,80173166.47
2031,Property Insurance,9952,0.0509,0.0379,103171081.92,85640400.69
2032,Property Insurance,10154,0.0526,0.0583,111534953.15,79400183.78
2033,Property Insurance,10801,0.0509,0.033,123631540.66,98523423.48
2034,Property Insurance,11249,0.0246,0.0645,113374776.52,68749942.51
2035,Property Insurance,11894,0.0332,0.0325,131323615.18,98440096.27
2036,Property Insurance,12353,0.033,0.0592,140644258.19,79141973.62
2037,Property Insurance,13072,0.0555,0.0489,190676013.41,112790639.55
2038,Property Insurance,13427,0.0485,0.0604,192214627.05,95059489.17
2039,Property Insurance,14147,0.0508,0.0498,218029830.72,115981741.47
2040,Property Insurance,14873,0.0371,0.031,202999365.74,132365406.91
2041,Property Insurance,15266,0.0213,0.0555,174195057.81,77523123.47
2042,Property Insurance,15859,0.0403,0.0663,243973066.99,87348210.28
2043,Property Insurance,16413,0.0364,0.0602,247256694.08,91495964.85
2044,Property Insurance,16966,0.0231,0.0416,212547353.07,102073459.43
2045,Property Insurance,17469,0.0572,0.0623,404041824.73,128096458.18
2027,Health Insurance,12696,0.0549,0.0621,63480000.0,59765745.22
2028,Health Insurance,13092,0.0557,0.0516,69106276.48,62493963.62
2029,Health Insurance,13988,0.0558,0.0427,77969518.87,68773570.12
2030,Health Insurance,14360,0.0291,0.0471,78256283.0,65101741.39
2031,Health Insurance,15352,0.0544,0.0303,94886559.83,81739577.87
2032,Health Insurance,16129,0.0367,0.0389,96568499.3,76812580.02
2033,Health Insurance,16567,0.0335,0.0677,100945828.69,63811215.44
2034,Health Insurance,17219,0.0408,0.0581,113869552.41,72464572.99
2035,Health Insurance,17939,0.0589,0.0685,141746908.94,78081935.57
2036,Health Insurance,18568,0.0399,0.042,132014466.21,87457671.18
2037,Health Insurance,19256,0.0215,0.0544,119073613.54,66502063.35
2038,Health Insurance,20221,0.0221,0.0411,128531320.81,79226424.97
2039,Health Insurance,21727,0.0296,0.0358,154135782.47,97575234.89
2040,Health Insurance,22799,0.0594,0.0397,241437124.93,140021738.74
2041,Health Insurance,24174,0.0505,0.0395,240801668.7,134665890.85
2042,Health Insurance,25713,0.0347,0.0553,214491849.3,90666515.36
2043,Health Insurance,27204,0.0414,0.0336,260429815.44,148462031.66
2044,Health Insurance,29111,0.0328,0.0375,252072852.21,130027734.32
2045,Health Insurance,29764,0.0436,0.0571,321027409.52,111767782.53
